protein1	protein2
POU2F1	SRC
PEX14	PEX7
FOSL2	PRMT6
SGF29	TP53BP2
XIAP	ACVRL1
MCM2	DHX9
RUNX1	KMT2A
USP7	XPC
CDK2	LMNA
PSEN2	HPS1
NME2	RAD23A
TANK	IRF7
LIMA1	STOM
SGO1	DNMT3B
FYN	DYNLT1
BCL2L10	CASP9
APP	TP53BP2
PRKCA	PTPN11
DBN1	CALM1
CLK1	TRA2B
EIF2B1	MCC
ATP5F1B	ATP5MF
DNAJB2	PJA1
XRN1	CCT5
CLTC	HSPA1A
FYN	EPHA4
H2AFX	CALR
NCOA6	NCOA6
ADRB2	EEF1D
UBE2B	UBQLN1
ERBB3	CRKL
UBE2D4	TRAF7
TINF2	PEX5
VDR	HMGN3
TTF1	KAT2B
ACOX1	AUH
RACK1	RPS27L
STAT1	ACTN4
RBM15	THOC5
CDC37	FBXL12
RTEL1	AATF
UBE2D3	DZIP3
LPAR1	ZDHHC17
TARDBP	UPF1
LYN	EVL
INO80	TCF3
COPS5	HIST1H4F
HSP90AA1	FBXW11
BAG3	UGDH
SMURF1	UBTF
HSP90AB1	IKBKB
PRKCD	PTGES3
USP7	RNF168
PLCD1	HGS
WDR83	ARHGEF17
HSPA9	DNAJB1
KDM1A	SIN3B
AKT2	PIK3CB
MAGOH	JAK1
BAG6	CLU
GOLT1B	ATP5PO
ALYREF	YBX1
HDAC5	PPP2R2A
6-Mar	DIO2
FBXW7	NMT1
PLCD1	PLCG1
TADA3	TAF7
PSMA2	HSPA5
VCP	PPP2CB
USP4	PPIA
STX6	PTPN9
RBBP6	APOH
PIM1	APP
GLUL	CASP8AP2
ALYREF	SNRPF
FN1	EIF2S1
CALM1	RPS14
TRAF2	NMUR2
MCC	UBE2M
FKBP8	PTPRK
SRGAP1	RHOA
RAB2A	ACADM
SRPK1	PPM1G
MRPL58	OXA1L
UBE2E1	RNF111
RHEB	RAF1
PRMT1	BRCA1
MAP3K7	HGS
MAP3K10	MAPK8IP1
STUB1	SMURF1
ELAVL1	RYBP
NPHP3	NPHP1
XPO1	IQCB1
MCM2	FKBP1A
MAP3K1	UBE2G1
CLIP1	RAC1
PIK3R1	SOS1
MSN	LCP1
CDKN1A	MAPK7
COPS5	CDK2
U2AF2	RPS13
CCND1	CCNB1
TP53	ANXA2
NR3C1	SRC
ZFAND5	SQSTM1
LCK	PIK3CA
FLNA	CDC42
CHRM2	GNA11
AMFR	HMGCR
RRM1	RRM2
GTF2I	SRC
RPS6KB2	HSPA8
SVIL	ATRX
MCM2	EEF1E1
PARP1	UBE2I
LYN	CDH23
BBS4	FHOD1
BAG6	CHMP5
NTMT1	MAPK3
MAP3K3	PIH1D1
TP63	CEBPB
RPA1	SMC2
CD81	SERPINB9
FAN1	RFC3
HSPD1	RPS13
SNRNP200	NCBP1
TRIM28	DNMT3B
ERLIN2	TUBB
MOV10	ERAP1
POLD3	POLE
PARK7	MBD3
ERBB3	TNS3
CRKL	PIK3R1
SIAH1	PIAS2
BNIP3L	DUSP3
XPO1	IRAK1
ELN	BGN
PPARD	PSMC5
U2AF2	SNRNP200
PTPN1	BCOR
SIK1	YWHAE
SMARCA4	NF1
NEK1	MRE11
MOV10	SLC25A4
CUL4B	SYNCRIP
XPO1	ZFP36L1
AKT1	SRR
SUZ12	PYCR1
POLA2	PCNA
UPF1	EIF2S1
MBD3	MBD3
SYK	SLC4A1
EEF1D	MCC
NCBP2	PPM1G
AHSA1	MCM2
JUN	TRIM33
TRIM5	MAP3K7
RPA1	XRCC5
MDM2	HSPA4
COPS5	WDR5
RNPS1	USP7
ZMIZ1	AR
ATM	XPC
EP300	SMAD4
EP300	SREBF1
SMARCA4	HIST1H4F
IKBKG	MYD88
REL	NCK2
TNK2	NEK6
RIC8A	GNAI2
P2RX4	EIF2B5
FLNA	IKBIP
ZDHHC1	GOPC
TLE5	SUFU
CSNK2A1	CHUK
XPO1	ECPAS
PAK2	PIN1
OBSL1	HNRNPK
MAPK14	PTPN11
COPRS	HIST1H4E
PPP1CA	HDAC6
HGS	TUBB
FBN1	HGS
NDUFS8	OPA1
CHUK	PAF1
CUL1	RBM14
IPO9	WDR77
SIAH1	MAPKBP1
SIRT1	HSP90AA1
FLNA	JUN
GSPT1	PIK3R1
ARRB1	RPS3A
PRMT2	HTT
UBQLN1	ETNK1
CARM1	SMARCC2
AGO3	TARBP2
TUBB	ANXA1
MRPL58	VDAC1
POU2F1	NCOR2
MYO6	TNFRSF1B
STX2	STX1A
SIAH1	NUMB
VCP	MAPK1
FBXO6	ATP1A1
FYN	ABL2
AARS	STAT1
PABPC1	RBM25
YEATS4	VPS72
MED12	GLI3
HUWE1	ZBTB17
SFPQ	TIMM9
GBA2	LAMTOR5
CDK2	TFAM
AKT1	ARRB2
ATXN1	DNAJA3
BAG3	NCL
TP53	MAPKAPK2
VHL	DDX5
XPO7	JMJD6
PRKDC	GSK3B
NCBP1	HNRNPF
DDX1	YBX1
SMARCA4	TAF9
NR3C1	PBX1
TGFBR1	OTUB1
PTPN2	CDK1
CBX8	DDX54
PFKM	ARFIP1
PRDX2	SAT1
TUBB	VDAC3
NOTCH4	DLL4
SRSF10	THOC6
SP3	PTPA
RPS6KB2	IPO5
SLC7A8	ITGB1
UBE2I	HGS
CUL3	DNAJB6
TRIM24	THRA
DTX1	DTX1
PATL1	SART1
FLNA	PRKACA
LGR4	TPR
IKBKB	CFLAR
PIN1	DDX5
GNAI2	HSPD1
ARRB2	MAP2K4
GRB2	CLU
CUL3	CUL1
TP53	NCOA3
MCM2	HNRNPK
CDK4	CDKN2A
FOXA3	STOM
ELAVL1	SEH1L
CDK5RAP2	PCNT
HSPB1	HNRNPF
PMS2	UBR5
RBCK1	UBE2D1
FRS3	PTPN11
CUL1	PPP2CA
SLU7	SRSF6
BTRC	DEPTOR
XPO1	LEO1
MCM2	YWHAE
CDK2	PCNA
CASP8AP2	CASP8
LPAR1	STX5
PRPF19	THOC2
DNAJA3	NDUFS7
HSP90AB1	STAT3
MOV10	LUC7L3
TRMT112	IPO7
RNF2	RPS13
ACIN1	SNRPC
STAT3	STAT3
TSG101	WDR12
SIRT7	NSD2
UBE3A	MYH9
DUSP3	SYK
VCP	VCL
RAB5A	KIF3B
ADAM9	PRKCD
CALM1	TPT1
STX1A	STX12
CARM1	NFKB1
STAT3	PPARD
FBXW11	TRAF7
NDEL1	DYNC1H1
JUN	MAF
SNCA	VIM
HCFC1	CLP1
RBX1	DCUN1D3
EP300	RBBP5
AKT1	TERF1
ATF2	PHB
PIN1	TCF4
DDB1	TPR
MDM2	NBN
CREB1	RNF111
SF1	THOC3
CSNK2A1	HSF1
HERC2	CCDC88A
HCK	SRC
FAF1	CTNNB1
HDAC5	PRKD2
HSP90AA1	CDK7
CLK2	SNRNP70
BAG3	VIM
TARBP2	EIF2B4
RPS27L	PYM1
DDX39B	HSPD1
GNA13	S1PR3
CDK5	KIF11
DMD	PICK1
SMURF1	DNAJC7
BECN1	AFG3L2
PRKDC	HDAC3
CDK6	CSNK2A1
PLCG1	PRKD1
TBCD	APP
APOBEC3F	APOBEC3F
PARP1	MAPK3
NME1	IPO13
EMD	HNRNPK
PSMC3	NAA15
ELP2	NRBP1
HIF1A	PIAS1
HP	TBL1X
SRPK1	NKAP
GNA12	RHOA
BID	RPA2
CYLD	MAPRE1
HDAC2	HSPA4
RAB2A	TMEM70
NCAPG	DNMT3B
ADAP1	PURA
SDHAF2	SDHA
PTEN	AKT1
HUS1	PCNA
OLA1	BARD1
NPM1	SUMO2
UBE2D2	MIB1
PRKCB	DAB2
SOD2	HSP90B1
YWHAG	SS18
DYNC1H1	NFKB2
PRKACA	VDR
PIK3R1	PTEN
TERF2	PRDX3
ATP5F1A	RPS3A
GRB2	SHC1
VCP	ALS2
SMAD2	SMAD1
H2AFX	HSPA9
NCBP2	SF3B1
DDOST	HNRNPU
UBASH3A	SLA2
KPNA2	NUP62
SLU7	THOC1
WDR5	SGF29
TANK	CALM1
BIRC6	UBE2D1
SLC11A2	NEDD4
ARRB1	HSPA9
ARAF	HRAS
FBXO6	TUBG1
ANAPC5	ZBTB16
YWHAB	TSC1
RPS6KB1	XPO1
NCBP1	NECAB3
HDAC1	SIN3B
SERPINB5	EIF2A
RPS6KB2	NCL
DCLRE1B	TERF2
MYC	SMAD3
RUVBL2	ATP5F1C
ELAVL1	RAD23B
DST	ECPAS
LAMTOR5	RXRA
WDR83	PRKAG2
ARL2	LHX4
RPA1	PNKP
SIRT1	PICALM
PRKCA	CTNNB1
UBE2D4	RBCK1
PPP2R2A	CCT5
SNRNP200	HSP90AB1
RNF2	THOC2
BIRC3	TRIM32
CDH1	KRT1
ATP5PB	MTCH1
PYGO2	CREBBP
RPA1	MSH2
INSIG1	PSMC3
PSMC3	E2F6
SET	TFE3
MYD88	IRAK4
HNRNPM	STAT3
MKS1	RELA
PRPF19	DHX38
VEGFB	TRIM68
YWHAE	SRSF1
OBSL1	NPM1
ACTN1	EZR
XAB2	THOC5
KMT5A	HIST1H4B
ATG5	ATG5
HIPK3	SIAH1
INTS5	INTS2
ADD2	PRKACG
SNCA	CRYAB
MCC	MCM4
DVL1	DVL1
ITGA1	SHARPIN
OLA1	TXNRD1
CUL3	SART1
IKBKE	BIRC2
MPP5	CRB3
RRM2	FZR1
CENPJ	TUBG1
RAPGEF2	NEDD4
HNRNPK	VCL
CTCF	KPNA2
USP21	CKAP5
DICER1	MYSM1
KAT2B	TAF5L
CDKL5	MECP2
SMURF2	UBE2D2
SPRY2	UBE2E3
SMARCB1	BRCA1
NDUFS3	NDUFS8
TPP1	POT1
BCL2L1	BAX
ITGA3	TGM2
LIMA1	CFL1
TRAF6	CBLB
EIF4A3	PRPF6
PTPA	MID1
GPS2	RALBP1
CUL3	SNRPF
UBE2Q2	RNF111
XPO1	TFE3
SKI	EYA3
MCM2	ADSL
EYA2	TFG
MAP4K4	KIF26B
BCS1L	VAPA
HDAC2	KDM1A
PEX1	PEX6
SNW1	RBM22
GOLT1B	NDUFB4
YWHAE	HIST2H4B
RPS19	PYM1
TANK	IPO5
AMOT	CNTROB
MSTO1	NR1H3
CREBBP	SMARCB1
PKD1	CTNNB1
GRN	TGM2
EGFR	PFKM
HSPB1	CPSF3
YBX1	NMT1
NLK	FBXW4
MOV10	TMEM11
SOS2	SHC1
L3MBTL1	HIST1H4J
HSPB1	SAT1
TMED10	TRAF6
NCK1	CDC27
MNAT1	BEX3
PRKCI	RAB2A
RBBP5	SMARCD1
MYH9	PPP1R12A
ELAVL1	PPP1R12A
RUVBL1	CREBBP
RNF2	HSD17B12
PABPC1	THOC1
ABCB1	PRKACG
CD40	BIRC2
JUN	ATP1A1
BARD1	CPSF6
YWHAH	PIAS2
IL16	PICK1
PSME1	ADRM1
CDKN2A	ZBTB17
MAP3K1	BRAF
EPHA4	EPHA4
PRKAR1A	PRPF31
ABI1	WASF2
TGFBR2	ACVR2A
MCC	ELP1
PRDX1	CDK1
NFKB1	PRKCA
TUBG1	HNRNPU
SMARCB1	SRC
EPHA4	EFNB2
ASCL1	UBQLN1
NF2	HSPH1
USP2	TBK1
PALB2	RBBP8
CEBPB	MAPK13
UBE2E3	OTUB1
SMAD3	ZFYVE9
HTT	VCP
VCP	DNAJB9
ITLN1	RRAS
FN1	MIF
GRB2	PTPN23
PARK7	BBS1
MED30	MED12
HSP90AB1	HSPA4
MEN1	KMT2B
RPS26	RPS6
TAF9	YWHAE
CREB1	TRAF3
PPP2CA	PPP2R5A
LRRK2	RAB5B
MAPK14	MAP2K1
RYBP	TP53
IMPA1	PLCG1
YWHAG	RAF1
UPF3B	UPF2
SAV1	GRN
RRAGC	MTOR
CUL4A	USP7
ANAPC11	ANAPC2
BRMS1	HSPA4
CDK2	DLG1
CHSY1	CHST11
CASP8	RIPK2
TUBB	RELA
PEX5	LONP2
FANCG	RPA2
OBSL1	HSP90AB1
CUL4A	DDB2
SMAD3	KMT2B
PPARD	RNF31
MAP3K14	BIRC2
PRKACA	CFTR
CDC42	BIRC2
ELAVL1	TNFRSF1A
XRN1	EXOSC10
TCF4	ID1
NCOR1	NFKB1
PIK3R2	CRKL
BRD4	DMAP1
TERF2IP	PRDX6
APPL1	RAB22A
COPS5	EXOSC9
CUL4A	KRT9
XRCC4	NFKB1
LRRK2	PPP1R12A
NCBP2	SYNCRIP
WDR83	SAP30BP
GIGYF2	MYC
POU2F1	BRD7
HIST1H4J	KDM4A
PIK3R3	ZBTB18
APTX	CNTROB
SMAD2	RSF1
VEGFA	FLT1
SMG1	SMG1
SRPK2	GTPBP4
DNAJB1	APP
CASP8AP2	FADD
ATP2A2	TNFRSF1B
TFPT	IL16
NRF1	CD47
YWHAB	DENND1A
BIRC3	WDR82
LGALS3	CSPG4
OBSL1	HIST1H4H
STRAP	NME2
BRCA1	SMARCA5
MYH9	LIMA1
GIPC1	ZFPM1
TAB2	RUVBL1
LAMA1	ITGB1
ITGA5	ADAM15
MCM2	S100A14
GSK3B	RPS6KB1
PIK3C3	HSP90AA1
SF1	U2AF2
U2AF2	HSPD1
HUWE1	NUDT21
IKBKB	ARRB1
CAPN2	ATG5
ELAVL1	KDSR
COPS5	PLOD1
MOV10	ELOVL1
APEX1	HSPA1B
USH1C	USH1C
AKT1	USP4
UBE2R2	UBE2R2
DDOST	RPS15A
DSP	PRKCA
PTPN11	BDKRB2
TCF3	CREBBP
SRPK2	RNF4
VCP	HAUS1
DLG4	ATP2B2
INPP5D	PLCG1
DDX5	PRKDC
PAXIP1	XRCC6
SRF	REL
NR1I2	RBCK1
EPM2A	PSMC3
EGFR	PRKD1
NUDT21	PRPF31
HDAC6	HIST4H4
MYLK2	FBXO11
HMGB2	NFKB1
MDM2	SUMO1
EGFR	ATP5F1B
UBE2A	WAC
GOPC	GOPC
SIRT6	NPM1
RPA1	HSPA5
MAPK9	MAPK8
DDB1	AHR
PRPF31	THOC2
SUZ12	RCC1
KRAS	SORBS3
GDAP1	TUBB
RTN4	TJP1
PRPF31	SART1
SMAD9	PNPLA2
FBXO6	VIM
CUL4B	PCNA
EFNB2	SDCBP
FZD2	WNT3A
POT1	RBM14
FN1	IGF2BP1
FBXW11	HNRNPAB
RBBP4	TAF12
APPL1	KLF15
BCL10	TRADD
ARRB1	HSPA5
NMT1	CAPN2
LCP2	PTEN
UHRF2	BCL2L1
MDM2	SET
BAG3	SSH2
MYC	NCL
TP53	RNF20
ERCC2	MED21
SKI	SLC25A4
PPIA	DNM1L
MAP2K4	MAPK8
ACTG1	TNFRSF1B
CLK3	KPNA2
PML	CUL1
RB1	AR
XPO6	DIAPH1
ACADM	ACOX1
CDC34	CREM
RAD50	ACD
GNAQ	GNAQ
KMT5A	HIST1H4E
TIRAP	IL1RAP
SHMT1	ARFIP1
NDRG1	DDX39B
ACE	BDKRB2
STX1A	SCNN1G
PARK7	DAXX
DGKZ	SNTA1
KAT2A	RELA
SMAD7	DVL1
BPTF	DPY30
BCAR1	SRCIN1
CUL1	HSPD1
SMAD9	TERF1
PAWR	PPM1G
SNRNP200	PPM1G
TERF1	MVK
SMARCB1	ATM
SP1	NFKB1
IKBKB	RPS13
UBE2D2	DTX1
KPNB1	CUL4B
NCOA6	NUMA1
RYBP	CASP8
DHX9	NFKB2
MID1	PKN1
MYH9	MYH9
RBBP4	SMARCD3
NRP1	TGFBR2
TARBP2	WDR77
HSPA4	HSPH1
STRN	EEF1E1
MAP3K7	NDFIP1
HTT	ZDHHC17
STK11	GSK3B
PCNA	CCNB2
ELAVL1	SERPINH1
NOS3	UTRN
APC	TAF1
BIRC3	UBE2D1
RAD9A	AR
GSK3B	EEF1G
SHC1	PIK3R1
RELA	SNRNP70
NAMPT	NDRG1
TP53	USP7
ERLEC1	HSPA5
TFRC	TFRC
FN1	CAP1
VPS28	TRIM54
BRCA1	SUPT5H
ADNP	CDC27
PTEN	NME1
NF2	PRKACG
HSPA1B	BAG1
BAG3	MAPK7
CLTC	EP300
EGFR	LRWD1
NEDD4	CASP3
MAP1S	ANXA1
BCL6	LSM1
BARD1	SMCHD1
HNRNPA1	CLTC
EP300	CDK2
BRAF	CDC37
CUL3	DNAJA3
FBXW4	COPS5
ABCA1	LIN7C
GEM	TCF4
FN1	MSN
STX12	VAMP7
TAOK3	TAOK3
CLTC	EIF6
CRNKL1	TRA2B
CDK6	NPM1
PRKDC	FZR1
FBXW7	MYCBP2
DNMT3A	KMT5A
FLNA	IKBKB
HSP90AA1	ALDOA
ALDH9A1	ALDOA
ICAM1	XRCC6
YWHAE	LSR
TNIK	NCOR2
COPS5	DDB2
CHUK	CDC73
FN1	STOM
NOTCH2	DLL4
NUMA1	RUVBL1
RAD18	TNPO3
ADRB2	VDAC1
HDAC1	MAPK8
PABPC1	SF3A1
RACK1	HSPD1
PLCB1	DGKZ
VHL	APP
FN1	SFRP2
EPAS1	CREBBP
CRNKL1	SNRPC
SMAD7	AKT1
ILK	IPO7
ELAVL1	6-Mar
CDC42	CDC42EP1
SP1	POGZ
CLASP1	PRKCZ
LATS2	TBK1
TNFRSF1B	CHUK
MYC	KAT2A
INSR	SHC1
BLM	RPA2
GTF2H1	ERCC5
TINF2	TERF2IP
ATP5PO	TRIP6
SYK	RPS6KA2
GATA3	FBXW7
ARIH2	HK2
ACE	CSNK2A1
HNRNPU	TPR
VIM	IKBKG
RYK	CDC37
FN1	PRPF19
CDK4	PPP1CC
CC2D1A	LRWD1
MED1	RXRB
FLNA	ANTXR1
BAG6	CDKN2A
SMAD9	ARHGAP9
PRKD2	RXRA
ANXA1	RPA1
LYST	YWHAB
HSPA5	KRT18
SMAD7	CXXC5
ERCC6	ERCC4
HSPA8	RSF1
VCP	RPS6
PPP1CB	MDM4
ZNF24	SETDB1
PRPF19	SF3B1
HSPH1	MAP3K1
GRB2	GSTM3
PPP2R5C	PPP2R2A
SEC61B	TNFRSF1A
HNRNPM	PRPF19
TAF6	CDC26
GEM	NCOR2
MDM2	NEDD4
CDK2	SF3B1
HDAC1	SMARCD1
GTF2I	MKNK1
EXOSC4	MECP2
RUVBL1	HSPA4
RCC1	TRAF6
SDCBP	SET
CDKN1A	ATP5F1B
TOP2B	VDR
LAMTOR3	TOMM22
SMAD3	WWP1
PLD2	HIF1A
CENPJ	CREBBP
HMGCR	PRKACA
CDK5	PXN
SFPQ	SMC3
MAPK7	HSPA4
SMURF2	UBE2D3
FBXO6	NPM1
HUWE1	DNAJA3
VAPA	SIN3A
TNFRSF1A	BIRC2
BIRC6	HTRA2
HDAC5	DDX1
HUWE1	DNAJB1
SULT1A1	PTGES3
AR	CASP3
KDM4A	HIST1H4A
HNRNPF	RPS3A
RPS6KB1	RPS6KB1
ADAM15	NPHP1
APP	STUB1
CYP1A2	PTGS1
DDX1	SAP30BP
TNFAIP1	KDM1A
CUL1	GRSF1
CD81	SYNCRIP
NRIP1	NR1H2
EZR	TNFRSF10B
HNRNPA1	AKAP8
RB1	TP53
FSCN1	CRYZ
ATG101	FKBP4
RNF4	SP1
RUVBL1	TAF9
CDK2	HNRNPK
PSAP	SMARCC2
EGFR	AREG
SSBP1	SSBP1
IBTK	USP10
NDUFA12	NDUFB4
FHL2	NRF1
DNAJA1	TNFRSF1B
PTCH1	NEDD4L
CLK2	ECE1
EID2	HDAC2
ING4	POGZ
UBE2D1	CHFR
FER	DNM2
PSMC3	ADRM1
RPS27L	RBM4
SMURF1	HSPA1B
MAPK1	SMAD1
UBASH3A	DTX3
UBE2Q2	PCGF2
SIRT6	PRMT5
PCBP2	NKAP
FBXW11	FBXO5
STK11	ARG2
HNRNPH1	HNRNPM
CEP57	DDB1
SRPK2	UPF3B
HUWE1	TUT1
SEM1	EEF1G
CLTC	TRAF2
DAXX	MDM2
GSTM3	TFE3
EZH2	TRA2A
EIF2B4	EIF2B4
PHB	PRKCD
CDKN1A	ZBTB16
TIRAP	IRAK1
CUL3	UPF1
PTPN2	CDC42
MTA2	BRCA1
SNW1	BICD2
HSP90AA1	SREBF1
PARK7	SUMO1
PAXIP1	LIMA1
4-Mar	UBE2D1
RXRA	NR2F1
SHARPIN	TNFRSF1A
SRC	TRPV1
PICK1	ATP5IF1
GNAQ	BDKRB1
SLU7	PPIL2
PRKRA	PIAS2
PRMT5	SREBF1
BMI1	TRA2A
PRPF19	XAB2
REL	ZIC1
FBXW8	PFDN5
BCL2L11	MIF
TICAM1	TRAF4
TBK1	MTPAP
UBE2E3	DZIP3
TFAP4	USF2
CDK2	DSP
SYNCRIP	CRNKL1
ING1	HIF1A
SAE1	HSPA1A
CDK12	RBM8A
IQCB1	ITGA11
CDKN1A	CDKN1A
ATG9A	OXER1
SNRNP70	DHX38
AKAP8	MCM2
BAZ1B	VDR
RAC1	ABI2
IGF2BP1	RPS27L
POLH	PCNA
UBE2B	MDM2
PIK3R3	PIK3CB
SLBP	ZNF473
PLCG1	RARG
RNF2	EEA1
SRC	ANXA7
NPM1	YBX1
ERBB2	PIN1
LGR4	TFRC
ALG2	HSP90AA1
ANXA7	OTUB1
CLK1	DBR1
WWOX	PLSCR3
UBE4B	USP9X
NEDD4L	MAP3K3
XPO1	AGTPBP1
MAP2K1	TRAF3
ATP5PO	NDUFS4
BRCA1	YBX1
XPO1	TAB2
CUL3	CALM1
SAFB	VTN
ABI1	NCK2
HNRNPU	TNFRSF1B
OBSL1	PPP2R1A
CHD8	AR
MAPK14	MAP3K10
PAK1	ATG5
STRN	CCT5
AIP	USP19
XRCC6	TADA3
MCM2	MYH14
NME6	APP
MAGED1	BAG3
HNRNPA1	PLOD1
MSN	CTNNB1
NEK6	TGFBR1
AMFR	MYH9
CHRD	SMAD3
FN1	ATP5F1A
SYVN1	WFS1
SMAD2	PAXIP1
HSPA8	SON
MAPK3	ATP1A1
NUDT21	MOV10
NUDT21	VCL
SETD7	TAF7
CFLAR	TICAM1
AHSA1	ACADM
CREBBP	SMARCC1
EPAS1	SMARCC2
TNFRSF1B	TIMM50
CLN3	COX15
PARK7	STUB1
KDM5B	SLITRK3
RNF2	DHX38
TPM2	ABI2
RND1	PLEKHG5
SUMO3	NAE1
IL1B	UBE2N
MED24	THRAP3
NAMPT	NAMPT
OBSL1	SUPT5H
SMARCA4	STAT1
EZR	PRKCA
CRYAB	IPO13
PIM1	SNX6
ATP5F1A	ATP5F1B
BCL6	CTBP1
SP3	SUMO1
PTPRK	ADAM9
RBBP4	SAP130
STUB1	PRKCZ
HSF1	IPO11
PPP3CB	RSRC1
SNAI1	KDM1A
PPP4C	CCT5
STX2	VAMP5
HNRNPU	SART1
POU2F1	PKNOX1
MSH2	ANXA6
PPP1CC	TOPBP1
ANXA1	TGM2
CUL1	IGF2BP1
CTBP1	NME2
RALGDS	FADD
NLRP2	BLM
ELAVL1	PDSS2
ZBTB16	SUMO1
UBE2D4	XIAP
RPA2	HNRNPAB
VSIG4	PIK3R2
GTF2I	MAP3K3
NSD2	DDX20
FBXW11	TFAP4
RBMX	SF3A1
HIF1A	TP53
TAB2	ACTG1
RAB5C	RAB2A
BCL6	SP1
DDX5	VTN
DOCK7	CDC42
LTBR	SKI
ELAVL1	CHUK
SUZ12	PHB2
MLH1	EIF2A
TP53	TAF5L
HDAC3	AKT1
FTO	SLX4
HNRNPU	SNRPF
SUMO2	BABAM2
VCP	ABCC1
INSR	PTK2
FRS3	GRB2
PLXND1	MACF1
ADD1	ATP1A1
UBE2D1	USP34
GRB2	CKAP5
RPA1	MNAT1
DCTN2	RPGR
RNF2	YBX3
TADA2A	TRRAP
MCM6	TRAF6
MYH10	RALA
TRIM23	CARD9
VCP	DAP3
MYC	IPO7
XPO1	RASSF1
PHB2	MCF2L
RIF1	NUDT21
RBM8A	RBM8A
SOS1	SRC
OBSL1	SEPTIN9
NR3C1	MED1
SMARCD1	CALCOCO2
EZH2	ACTG1
PSMC3	PSMC3
WASHC1	BECN1
CAND1	SRPK1
PRKCQ	CD44
DDOST	MCC
PRKACA	RAP1B
EPS15	HSPA9
ATP5F1A	VIM
SMAD1	WWP1
MAPK8	WWOX
PPP1CC	RAF1
TNFRSF1A	CLTCL1
XPO1	MAP3K3
STX6	STX10
BCL6	MAPK8IP3
HNRNPA1	APC
VCAM1	MBNL1
CTNNB1	GSK3B
GPR183	TSHZ3
SMARCA1	RBBP7
SRI	RYR2
PIN1	ATP5F1B
BRD8	EP400
MED4	ATF7IP
POLK	MSH6
MOV10	RBM25
SUMO2	PARN
MEF2A	ITGB1
CYCS	PINX1
SEMA3C	NRP1
FOS	RPS6KA5
DDX5	IKBKB
PRMT5	SMARCD1
GATA2	RBPMS
SAV1	CSNK1E
RAD50	XRCC6
DISC1	TRIM68
TAF7	CDK7
SLU7	PABPC1
TLR9	PRKCZ
KPNA4	SLX4
WDR77	HNRNPM
ZRSR2	GTPBP4
DDOST	TARBP2
HCFC1	HCFC1
IQCB1	SKP1
SNIP1	PIAS2
NR3C1	SMARCC2
CEP57	HSPA1A
ELAVL1	MECP2
AKT1	DLC1
ALG2	PLSCR3
SRRT	THOC7
FYN	SOCS1
ATP5F1A	MAP3K14
RBX1	HSPA1A
ARID1A	MBD2
USP7	UBE2D3
FGG	FGG
BIRC2	CASP3
TARDBP	CDK4
BBS1	KRT18
MOV10	THRA
SNX18	SOS2
RPA1	ANXA2
JUN	NFE2L2
ALYREF	NUDT21
NUP214	VPS4B
CDT1	SMARCA5
MAPK8	STAT3
TFAP4	APEX1
VCAM1	HNRNPM
FBXO6	HSPA8
RNF7	GHR
SUMO1	WRN
MECP2	DNMT1
USF1	CHD8
EGR1	F3
POU5F1	XPC
BCL10	CARD10
TBCD	TPM4
VASP	EVL
IKBKB	ARRB2
DVL3	TRAF2
TERF1	ZFP36L1
ARRB1	ITCH
NPHP1	FLNA
CPSF6	RBM22
HNRNPK	TARDBP
TNFSF13	TNFRSF1A
IQCB1	ANXA2
BTRC	REL
TAL1	RB1
NME1	MIF
CDC27	CDH1
MYH9	RALA
CUL3	TARBP2
YBX1	RPS6
KRIT1	ITGB1BP1
SEM1	PSMC3
ITPR1	ACTA1
SMAD3	BTRC
VCAM1	HIST1H4E
ATM	MINK1
MALT1	CARM1
CDK7	CCNH
PRMT1	SYNCRIP
NCOR1	UBE2I
NDE1	AR
PRKCB	CARD11
APP	CDK1
PARP2	TRIM28
MED12	SIRT6
IRF7	MAVS
FASTK	RBPMS
TFAM	IKBKE
SRSF10	PHB
SUMO1	CASP2
SRC	VCL
AKT2	GRB10
HSP90AA1	DMPK
MAGOH	HSPA8
BRMS1	RIF1
SLX4	TERF2
CAND1	ATP5F1B
EMD	MYO1E
POGZ	APP
MAGOH	SF3A1
SIX5	SRF
KMT2B	DPY30
UBE2K	RNF2
PFKL	PRKACA
TRIM24	HIST4H4
NCOA2	CDK4
ACO2	APP
PTPN23	VPS26A
MAP3K5	DMD
PTBP1	HNRNPK
SEPTIN7	UBE2I
ZIC1	PEF1
SHC1	LRP1
UBE2E1	MID1
YES1	CPSF6
COL4A3BP	COL4A3
HERC2	RAB34
HNRNPK	GAA
UBE2E1	RNF8
YBX1	PCNA
AR	CDK1
RHOA	RPE
DBN1	TAB2
PRKDC	RPS3A
ATF2	TPM1
OBSL1	YBX1
SAV1	NEDD4
CDKN1C	SKP2
RPA2	SMC2
ABCB1	PRKACA
CEBPG	ATF5
ELP1	PSMA2
LATS1	SIAH2
SGO1	LIMS1
GSN	ACTG1
BIK	CRKL
ERN1	PSEN1
GTF2F1	GTF2H1
THOC1	THOC7
CDC37	ATG12
HSPA4	CRYAB
ASH2L	CHD8
MCC	SYT6
RBMX	PPP1CA
ASB1	SSBP1
PAK2	YWHAE
RNF2	ACIN1
SNW1	SFPQ
ATP5MG	ATP5IF1
SUZ12	SRSF10
ATP5PD	ATP5F1D
SMAD9	LRP5
CFTR	CD59
CTNND1	JUP
HNRNPH1	HSP90AB1
